id,civic_centre,death_licenses,place_of_death,year,month,season
28354,ET,199,Outside City Limits,2019,1,Winter
28355,ET,612,Toronto,2019,1,Winter
28356,NY,122,Outside City Limits,2019,1,Winter
28357,NY,455,Toronto,2019,1,Winter
28358,SC,105,Outside City Limits,2019,1,Winter
28359,SC,505,Toronto,2019,1,Winter
28360,ET,189,Outside City Limits,2019,2,Winter
28361,ET,573,Toronto,2019,2,Winter
28362,NY,80,Outside City Limits,2019,2,Winter
28363,NY,328,Toronto,2019,2,Winter
28364,SC,84,Outside City Limits,2019,2,Winter
28365,SC,379,Toronto,2019,2,Winter
28366,ET,152,Outside City Limits,2019,3,Spring
28367,ET,555,Toronto,2019,3,Spring
28368,NY,68,Outside City Limits,2019,3,Spring
28369,NY,344,Toronto,2019,3,Spring
28370,SC,97,Outside City Limits,2019,3,Spring
28371,SC,433,Toronto,2019,3,Spring
28372,ET,111,Outside City Limits,2019,4,Spring
28373,ET,347,Toronto,2019,4,Spring
28374,NY,54,Outside City Limits,2019,4,Spring
28375,NY,253,Toronto,2019,4,Spring
28376,SC,136,Outside City Limits,2019,4,Spring
28377,SC,522,Toronto,2019,4,Spring
28378,ET,205,Outside City Limits,2019,5,Spring
28379,ET,407,Toronto,2019,5,Spring
28380,NY,43,Outside City Limits,2019,5,Spring
28381,NY,268,Toronto,2019,5,Spring
28382,SC,118,Outside City Limits,2019,5,Spring
28383,SC,678,Toronto,2019,5,Spring
28384,ET,73,Outside City Limits,2019,6,Summer
28385,ET,164,Toronto,2019,6,Summer
28386,NY,133,Outside City Limits,2019,6,Summer
28387,NY,395,Toronto,2019,6,Summer
28388,SC,77,Outside City Limits,2019,6,Summer
28389,SC,465,Toronto,2019,6,Summer
28390,ET,157,Outside City Limits,2019,7,Summer
28391,ET,256,Toronto,2019,7,Summer
28392,NY,69,Outside City Limits,2019,7,Summer
28393,NY,316,Toronto,2019,7,Summer
28394,SC,155,Outside City Limits,2019,7,Summer
28395,SC,704,Toronto,2019,7,Summer
28396,ET,93,Outside City Limits,2019,8,Summer
28397,ET,242,Toronto,2019,8,Summer
28398,NY,89,Outside City Limits,2019,8,Summer
28399,NY,316,Toronto,2019,8,Summer
28400,SC,107,Outside City Limits,2019,8,Summer
28401,SC,432,Toronto,2019,8,Summer
28402,ET,140,Outside City Limits,2019,9,Fall
28403,ET,266,Toronto,2019,9,Fall
28404,NY,87,Outside City Limits,2019,9,Fall
28405,NY,312,Toronto,2019,9,Fall
28406,SC,106,Outside City Limits,2019,9,Fall
28407,SC,385,Toronto,2019,9,Fall
28408,ET,109,Outside City Limits,2019,10,Fall
28409,ET,306,Toronto,2019,10,Fall
28410,NY,59,Outside City Limits,2019,10,Fall
28411,NY,323,Toronto,2019,10,Fall
28412,SC,81,Outside City Limits,2019,10,Fall
28413,SC,509,Toronto,2019,10,Fall
28414,ET,155,Outside City Limits,2019,11,Fall
28415,ET,500,Toronto,2019,11,Fall
28416,NY,100,Outside City Limits,2019,11,Fall
28417,NY,277,Toronto,2019,11,Fall
28418,SC,135,Outside City Limits,2019,11,Fall
28419,SC,631,Toronto,2019,11,Fall
28420,TO,39,Outside City Limits,2019,11,Fall
28421,TO,178,Toronto,2019,11,Fall
28422,ET,154,Outside City Limits,2019,12,Winter
28423,ET,332,Toronto,2019,12,Winter
28424,NY,40,Outside City Limits,2019,12,Winter
28425,NY,124,Toronto,2019,12,Winter
28426,SC,125,Outside City Limits,2019,12,Winter
28427,SC,523,Toronto,2019,12,Winter
28428,ET,149,Outside City Limits,2020,1,Winter
28429,ET,416,Toronto,2020,1,Winter
28430,NY,86,Outside City Limits,2020,1,Winter
28431,NY,563,Toronto,2020,1,Winter
28432,SC,157,Outside City Limits,2020,1,Winter
28433,SC,557,Toronto,2020,1,Winter
28434,TO,46,Outside City Limits,2020,1,Winter
28435,TO,218,Toronto,2020,1,Winter
28436,ET,123,Outside City Limits,2020,2,Winter
28437,ET,313,Toronto,2020,2,Winter
28438,NY,61,Outside City Limits,2020,2,Winter
28439,NY,298,Toronto,2020,2,Winter
28440,SC,102,Outside City Limits,2020,2,Winter
28441,SC,282,Toronto,2020,2,Winter
28442,TO,58,Outside City Limits,2020,2,Winter
28443,TO,252,Toronto,2020,2,Winter
28444,ET,86,Outside City Limits,2020,3,Spring
28445,ET,269,Toronto,2020,3,Spring
28446,NY,30,Outside City Limits,2020,3,Spring
28447,NY,184,Toronto,2020,3,Spring
28448,SC,57,Outside City Limits,2020,3,Spring
28449,SC,232,Toronto,2020,3,Spring
28450,TO,9,Outside City Limits,2020,3,Spring
28451,TO,29,Toronto,2020,3,Spring
28452,SC,184,Outside City Limits,2020,4,Spring
28453,SC,662,Toronto,2020,4,Spring
28454,TO,1,Toronto,2020,4,Spring
28455,ET,239,Outside City Limits,2020,5,Spring
28456,ET,769,Toronto,2020,5,Spring
28457,NY,74,Outside City Limits,2020,5,Spring
28458,NY,356,Toronto,2020,5,Spring
28459,SC,393,Outside City Limits,2020,5,Spring
28460,SC,1455,Toronto,2020,5,Spring
28461,TO,14,Outside City Limits,2020,5,Spring
28462,TO,128,Toronto,2020,5,Spring
28463,ET,190,Outside City Limits,2020,6,Summer
28464,ET,567,Toronto,2020,6,Summer
28465,NY,32,Outside City Limits,2020,6,Summer
28466,NY,210,Toronto,2020,6,Summer
28467,SC,5,Outside City Limits,2020,6,Summer
28468,SC,29,Toronto,2020,6,Summer
28469,TO,61,Outside City Limits,2020,6,Summer
28470,TO,255,Toronto,2020,6,Summer
28471,ET,187,Outside City Limits,2020,7,Summer
28472,ET,647,Toronto,2020,7,Summer
28473,NY,24,Outside City Limits,2020,7,Summer
28474,NY,187,Toronto,2020,7,Summer
28475,TO,72,Outside City Limits,2020,7,Summer
28476,TO,272,Toronto,2020,7,Summer
28477,ET,186,Outside City Limits,2020,8,Summer
28478,ET,507,Toronto,2020,8,Summer
28479,NY,46,Outside City Limits,2020,8,Summer
28480,NY,200,Toronto,2020,8,Summer
28481,TO,12,Outside City Limits,2020,8,Summer
28482,TO,86,Toronto,2020,8,Summer
28483,ET,39,Outside City Limits,2020,9,Fall
28484,ET,194,Toronto,2020,9,Fall
28485,NY,1,Outside City Limits,2020,9,Fall
28486,NY,2,Toronto,2020,9,Fall
28487,SC,40,Outside City Limits,2020,9,Fall
28488,SC,140,Toronto,2020,9,Fall
28489,TO,155,Outside City Limits,2020,9,Fall
28490,TO,534,Toronto,2020,9,Fall
28491,ET,164,Outside City Limits,2020,10,Fall
28492,ET,375,Toronto,2020,10,Fall
28493,NY,1,Outside City Limits,2020,10,Fall
28494,NY,2,Toronto,2020,10,Fall
28495,SC,79,Outside City Limits,2020,10,Fall
28496,SC,162,Toronto,2020,10,Fall
28497,TO,220,Outside City Limits,2020,10,Fall
28498,TO,683,Toronto,2020,10,Fall
28499,ET,322,Outside City Limits,2020,11,Fall
28500,ET,1239,Toronto,2020,11,Fall
28501,NY,5,Outside City Limits,2020,11,Fall
28502,NY,24,Toronto,2020,11,Fall
28503,SC,12,Outside City Limits,2020,11,Fall
28504,SC,39,Toronto,2020,11,Fall
28505,TO,39,Outside City Limits,2020,11,Fall
28506,TO,147,Toronto,2020,11,Fall
28507,ET,171,Outside City Limits,2020,12,Winter
28508,ET,832,Toronto,2020,12,Winter
28509,SC,3,Toronto,2020,12,Winter
28510,TO,1,Outside City Limits,2020,12,Winter
28511,TO,16,Toronto,2020,12,Winter
28512,ET,405,Outside City Limits,2021,1,Winter
28513,ET,1712,Toronto,2021,1,Winter
28514,NY,1,Outside City Limits,2021,1,Winter
28515,NY,5,Toronto,2021,1,Winter
28516,TO,4,Toronto,2021,1,Winter
28517,ET,478,Outside City Limits,2021,2,Winter
28518,ET,1339,Toronto,2021,2,Winter
28519,TO,1,Outside City Limits,2021,2,Winter
28520,TO,1,Toronto,2021,2,Winter
28521,ET,377,Outside City Limits,2021,3,Spring
28522,ET,1489,Toronto,2021,3,Spring
28523,TO,1,Toronto,2021,3,Spring
28524,ET,426,Outside City Limits,2021,4,Spring
28525,ET,1304,Toronto,2021,4,Spring
28526,NY,1,Toronto,2021,4,Spring
28527,TO,1,Toronto,2021,4,Spring
28528,ET,653,Outside City Limits,2021,5,Spring
28529,ET,2007,Toronto,2021,5,Spring
28530,TO,1,Toronto,2021,5,Spring
28531,ET,146,Outside City Limits,2021,6,Summer
28532,ET,429,Toronto,2021,6,Summer
28533,ET,197,Outside City Limits,2021,7,Summer
28534,ET,879,Toronto,2021,7,Summer
28535,ET,290,Outside City Limits,2021,8,Summer
28536,ET,740,Toronto,2021,8,Summer
28537,TO,2,Toronto,2021,8,Summer
28538,ET,302,Outside City Limits,2021,9,Fall
28539,ET,1216,Toronto,2021,9,Fall
28540,TO,3,Toronto,2021,9,Fall
28541,ET,374,Outside City Limits,2021,10,Fall
28542,ET,1181,Toronto,2021,10,Fall
28543,ET,277,Outside City Limits,2021,11,Fall
28544,ET,909,Toronto,2021,11,Fall
28545,ET,193,Outside City Limits,2021,12,Winter
28546,ET,746,Toronto,2021,12,Winter
28547,ET,347,Outside City Limits,2022,1,Winter
28548,ET,1326,Toronto,2022,1,Winter
28549,ET,473,Outside City Limits,2022,2,Winter
28550,ET,1285,Toronto,2022,2,Winter
28551,TO,10,Toronto,2022,2,Winter
28552,ET,424,Outside City Limits,2022,3,Spring
28553,ET,1437,Toronto,2022,3,Spring
28554,TO,11,Outside City Limits,2022,3,Spring
28555,TO,54,Toronto,2022,3,Spring
28556,ET,244,Outside City Limits,2022,4,Spring
28557,ET,679,Toronto,2022,4,Spring
28558,TO,5,Outside City Limits,2022,4,Spring
28559,TO,9,Toronto,2022,4,Spring
28560,ET,319,Outside City Limits,2022,5,Spring
28561,ET,980,Toronto,2022,5,Spring
28562,NY,7,Outside City Limits,2022,5,Spring
28563,NY,14,Toronto,2022,5,Spring
28564,TO,2,Outside City Limits,2022,5,Spring
28565,TO,4,Toronto,2022,5,Spring
28566,ET,352,Outside City Limits,2022,6,Summer
28567,ET,1199,Toronto,2022,6,Summer
28568,NY,12,Outside City Limits,2022,6,Summer
28569,NY,35,Toronto,2022,6,Summer
28570,TO,2,Outside City Limits,2022,6,Summer
28571,TO,9,Toronto,2022,6,Summer
28572,ET,87,Outside City Limits,2022,7,Summer
28573,ET,272,Toronto,2022,7,Summer
28574,NY,5,Outside City Limits,2022,7,Summer
28575,NY,24,Toronto,2022,7,Summer
28576,TO,1,Outside City Limits,2022,7,Summer
28577,TO,2,Toronto,2022,7,Summer
28578,ET,118,Outside City Limits,2022,8,Summer
28579,ET,317,Toronto,2022,8,Summer
28580,NY,65,Outside City Limits,2022,8,Summer
28581,NY,143,Toronto,2022,8,Summer
28582,TO,9,Outside City Limits,2022,8,Summer
28583,TO,18,Toronto,2022,8,Summer
28584,ET,203,Outside City Limits,2022,9,Fall
28585,ET,583,Toronto,2022,9,Fall
28586,NY,197,Outside City Limits,2022,9,Fall
28587,NY,730,Toronto,2022,9,Fall
28588,TO,9,Outside City Limits,2022,9,Fall
28589,TO,55,Toronto,2022,9,Fall
28590,ET,73,Outside City Limits,2022,10,Fall
28591,ET,282,Toronto,2022,10,Fall
28592,NY,133,Outside City Limits,2022,10,Fall
28593,NY,397,Toronto,2022,10,Fall
28594,TO,9,Outside City Limits,2022,10,Fall
28595,TO,19,Toronto,2022,10,Fall
28596,ET,71,Outside City Limits,2022,11,Fall
28597,ET,360,Toronto,2022,11,Fall
28598,NY,324,Outside City Limits,2022,11,Fall
28599,NY,1274,Toronto,2022,11,Fall
28600,TO,16,Outside City Limits,2022,11,Fall
28601,TO,65,Toronto,2022,11,Fall
28602,ET,10,Outside City Limits,2022,12,Winter
28603,ET,14,Toronto,2022,12,Winter
28604,NY,416,Outside City Limits,2022,12,Winter
28605,NY,996,Toronto,2022,12,Winter
28606,TO,12,Outside City Limits,2022,12,Winter
28607,TO,25,Toronto,2022,12,Winter
28608,ET,5,Outside City Limits,2023,1,Winter
28609,ET,20,Toronto,2023,1,Winter
28610,NY,370,Outside City Limits,2023,1,Winter
28611,NY,1015,Toronto,2023,1,Winter
28612,TO,14,Outside City Limits,2023,1,Winter
28613,TO,48,Toronto,2023,1,Winter
28614,ET,7,Outside City Limits,2023,2,Winter
28615,ET,12,Toronto,2023,2,Winter
28616,NY,162,Outside City Limits,2023,2,Winter
28617,NY,446,Toronto,2023,2,Winter
28618,TO,11,Outside City Limits,2023,2,Winter
28619,TO,27,Toronto,2023,2,Winter
28620,ET,10,Outside City Limits,2023,3,Spring
28621,ET,34,Toronto,2023,3,Spring
28622,NY,314,Outside City Limits,2023,3,Spring
28623,NY,923,Toronto,2023,3,Spring
28624,TO,13,Outside City Limits,2023,3,Spring
28625,TO,55,Toronto,2023,3,Spring
28626,ET,4,Outside City Limits,2023,4,Spring
28627,ET,17,Toronto,2023,4,Spring
28628,NY,407,Outside City Limits,2023,4,Spring
28629,NY,1588,Toronto,2023,4,Spring
28630,TO,18,Outside City Limits,2023,4,Spring
28631,TO,72,Toronto,2023,4,Spring
28632,ET,6,Outside City Limits,2023,5,Spring
28633,ET,8,Toronto,2023,5,Spring
28634,NY,519,Outside City Limits,2023,5,Spring
28635,NY,1926,Toronto,2023,5,Spring
28636,TO,18,Outside City Limits,2023,5,Spring
28637,TO,74,Toronto,2023,5,Spring
28638,ET,5,Outside City Limits,2023,6,Summer
28639,ET,24,Toronto,2023,6,Summer
28640,NY,775,Outside City Limits,2023,6,Summer
28641,NY,1842,Toronto,2023,6,Summer
28642,TO,30,Outside City Limits,2023,6,Summer
28643,TO,62,Toronto,2023,6,Summer
28644,NY,124,Outside City Limits,2023,7,Summer
28645,NY,394,Toronto,2023,7,Summer
28646,TO,10,Outside City Limits,2023,7,Summer
28647,TO,23,Toronto,2023,7,Summer
28648,ET,1,Outside City Limits,2023,8,Summer
28649,ET,6,Toronto,2023,8,Summer
28650,NY,301,Outside City Limits,2023,8,Summer
28651,NY,866,Toronto,2023,8,Summer
28652,TO,12,Outside City Limits,2023,8,Summer
28653,TO,40,Toronto,2023,8,Summer
28654,ET,1,Outside City Limits,2023,9,Fall
28655,ET,2,Toronto,2023,9,Fall
28656,NY,439,Outside City Limits,2023,9,Fall
28657,NY,1180,Toronto,2023,9,Fall
28658,TO,31,Outside City Limits,2023,9,Fall
28659,TO,86,Toronto,2023,9,Fall
28660,ET,1,Outside City Limits,2023,10,Fall
28661,ET,4,Toronto,2023,10,Fall
28662,NY,344,Outside City Limits,2023,10,Fall
28663,NY,1058,Toronto,2023,10,Fall
28664,TO,51,Outside City Limits,2023,10,Fall
28665,TO,120,Toronto,2023,10,Fall
28666,ET,2,Toronto,2023,11,Fall
28667,NY,309,Outside City Limits,2023,11,Fall
28668,NY,1301,Toronto,2023,11,Fall
28669,TO,47,Outside City Limits,2023,11,Fall
28670,TO,155,Toronto,2023,11,Fall
28671,ET,1,Toronto,2023,12,Winter
28672,NY,143,Outside City Limits,2023,12,Winter
28673,NY,510,Toronto,2023,12,Winter
28674,TO,16,Outside City Limits,2023,12,Winter
28675,TO,100,Toronto,2023,12,Winter
28676,NY,338,Outside City Limits,2024,1,Winter
28677,NY,984,Toronto,2024,1,Winter
28678,TO,96,Outside City Limits,2024,1,Winter
28679,TO,288,Toronto,2024,1,Winter
28680,NY,192,Outside City Limits,2024,2,Winter
28681,NY,637,Toronto,2024,2,Winter
28682,TO,41,Outside City Limits,2024,2,Winter
28683,TO,160,Toronto,2024,2,Winter
28684,NY,491,Outside City Limits,2024,3,Spring
28685,NY,1405,Toronto,2024,3,Spring
28686,TO,139,Outside City Limits,2024,3,Spring
28687,TO,353,Toronto,2024,3,Spring
28688,NY,697,Outside City Limits,2024,4,Spring
28689,NY,2055,Toronto,2024,4,Spring
28690,TO,108,Outside City Limits,2024,4,Spring
28691,TO,356,Toronto,2024,4,Spring
28692,ET,1,Outside City Limits,2024,5,Spring
28693,ET,2,Toronto,2024,5,Spring
28694,NY,296,Outside City Limits,2024,5,Spring
28695,NY,878,Toronto,2024,5,Spring
28696,TO,68,Outside City Limits,2024,5,Spring
28697,TO,130,Toronto,2024,5,Spring
28698,ET,1,Outside City Limits,2024,6,Summer
28699,ET,14,Toronto,2024,6,Summer
28700,NY,162,Outside City Limits,2024,6,Summer
28701,NY,287,Toronto,2024,6,Summer
28702,TO,30,Outside City Limits,2024,6,Summer
28703,TO,48,Toronto,2024,6,Summer
28704,ET,2,Toronto,2024,7,Summer
28705,NY,417,Outside City Limits,2024,7,Summer
28706,NY,1168,Toronto,2024,7,Summer
28707,TO,51,Outside City Limits,2024,7,Summer
28708,TO,145,Toronto,2024,7,Summer
28709,ET,1,Toronto,2024,8,Summer
28710,NY,791,Outside City Limits,2024,8,Summer
28711,NY,2515,Toronto,2024,8,Summer
28712,TO,54,Outside City Limits,2024,8,Summer
28713,TO,219,Toronto,2024,8,Summer
