month,death_licenses
Apr,280.0657894736842
Aug,238.8048780487805
Dec,215.22222222222223
Feb,248.96296296296296
Jan,336.44444444444446
Jul,221.55696202531647
Jun,233.67073170731706
Mar,285.1
May,297.9277108433735
Nov,266.12987012987014
Oct,252.1038961038961
Sep,254.3116883116883
